Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,φa min,φa max,Tan α,φa,d/t,Wt,c/t
,HSS5X4X1/8,,R,US,Steel,AISC v15.0,10.9,127,101.6,2.9,2.9,,,40.1,31.5,,,,0.447,41.1,309,219,4.89,4.12,48.6,43.2,57.4,49.3,,,,402,12.9,,,,,,,,,,,,,,,72.1,
,HSS5X3X1/2,,R,US,Steel,AISC v15.0,32.2,127,76.2,11.8,11.8,,,7.75,3.45,,,,0.366,11.4,683,299,4.19,2.77,107,78.4,145,100,,,,733,38.8,,,,,,,,,,,,,,,613,
,HSS5X3X3/8,,R,US,Steel,AISC v15.0,25.7,127,76.2,8.9,8.9,,,11.3,5.6,,,,0.376,14.6,587,260,4.36,2.9,92.4,68.3,120,83.6,,,,620,30.8,,,,,,,,,,,,,,,141,
,HSS5X3X5/16,,R,US,Steel,AISC v15.0,22.1,127,76.2,7.4,7.4,,,14.2,7.31,,,,0.381,17.3,524,233,4.45,2.97,82.6,61.2,105,73.4,,,,545,26.5,,,,,,,,,,,,,,,122,
,HSS5X3X1/4,,R,US,Steel,AISC v15.0,18.2,127,76.2,5.9,5.9,,,18.5,9.88,,,,0.386,21.3,445,200,4.53,3.03,70.1,52.5,88.2,61.8,,,,458,21.7,,,,,,,,,,,,,,,101,
,HSS5X3X3/16,,R,US,Steel,AISC v15.0,14,127,76.2,4.4,4.4,,,25.7,14.2,,,,0.391,27.9,355,160,4.62,3.1,55.9,42.1,69,48.5,,,,360,16.6,,,,,,,,,,,,,,,77.8,
,HSS5X3X1/8,,R,US,Steel,AISC v15.0,9.61,127,76.2,2.9,2.9,,,40.1,22.9,,,,0.396,41.2,251,114,4.69,3.17,39.5,30,48,33.9,,,,251,11.4,,,,,,,,,,,,,,,53.6,
,HSS5X2-1/2X1/4,,R,US,Steel,AISC v15.0,16.9,127,63.5,5.9,5.9,,,18.5,7.73,,,,0.361,21.3,391,130,4.39,2.54,61.6,41,79.1,48.3,,,,330,20.3,,,,,,,,,,,,,,,82.5,
,HSS5X2-1/2X3/16,,R,US,Steel,AISC v15.0,13.1,127,63.5,4.4,4.4,,,25.7,11.4,,,,0.366,28,313,105,4.48,2.6,49.2,33.2,62.1,38.2,,,,261,15.5,,,,,,,,,,,,,,,64,
,HSS5X2-1/2X1/8,,R,US,Steel,AISC v15.0,8.97,127,63.5,2.9,2.9,,,40.1,18.6,,,,0.371,41.3,222,75.8,4.57,2.67,35,23.9,43.4,26.9,,,,183,10.6,,,,,,,,,,,,,,,44.3,
,HSS5X2X3/8,,R,US,Steel,AISC v15.0,21.9,127,50.8,8.9,8.9,,,11.3,2.73,,,,0.325,14.8,433,94.9,4.05,1.9,68.2,37.4,93.6,47.2,,,,275,26.4,,,,,,,,,,,,,,,307,
,HSS5X2X5/16,,R,US,Steel,AISC v15.0,18.9,127,50.8,7.4,7.4,,,14.2,3.87,,,,0.33,17.5,389,87.4,4.14,1.96,61.3,34.4,82.8,42.1,,,,249,22.7,,,,,,,,,,,,,,,76.8,
,HSS5X2X1/4,,R,US,Steel,AISC v15.0,15.6,127,50.8,5.9,5.9,,,18.5,5.58,,,,0.335,21.4,336,76.6,4.23,2.02,53,30.2,70,36.1,,,,215,18.8,,,,,,,,,,,,,,,64.3,
,HSS5X2X3/16,,R,US,Steel,AISC v15.0,12.1,127,50.8,4.4,4.4,,,25.7,8.49,,,,0.34,28.1,271,62.9,4.33,2.09,42.6,24.7,55.2,28.7,,,,173,14.5,,,,,,,,,,,,,,,50.3,
,HSS5X2X1/8,,R,US,Steel,AISC v15.0,8.35,127,50.8,2.9,2.9,,,40.1,14.2,,,,0.345,41.4,194,45.8,4.41,2.15,30.5,18,38.8,20.3,,,,123,9.94,,,,,,,,,,,,,,,35,
,HSS4X3X3/8,,R,US,Steel,AISC v15.0,21.9,101.6,76.2,8.9,8.9,,,8.46,5.6,,,,0.325,14.8,330,209,3.54,2.81,65,54.7,83.9,68.5,,,,441,26.4,,,,,,,,,,,,,,,111,
,HSS4X3X5/16,,R,US,Steel,AISC v15.0,18.9,101.6,76.2,7.4,7.4,,,10.7,7.31,,,,0.33,17.5,297,188,3.62,2.88,58.5,49.4,73.9,60.5,,,,392,22.7,,,,,,,,,,,,,,,95.8,
,HSS4X3X1/4,,R,US,Steel,AISC v15.0,15.6,101.6,76.2,5.9,5.9,,,14.2,9.88,,,,0.335,21.4,256,163,3.69,2.94,50.4,42.7,62.4,51.1,,,,331,18.8,,,,,,,,,,,,,,,79.6,
,HSS4X3X3/16,,R,US,Steel,AISC v15.0,12.1,101.6,76.2,4.4,4.4,,,20,14.2,,,,0.34,28.1,205,132,3.77,3.02,40.4,34.5,49.2,40.3,,,,261,14.5,,,,,,,,,,,,,,,61.7,
,HSS4X3X1/8,,R,US,Steel,AISC v15.0,8.35,101.6,76.2,2.9,2.9,,,31.5,22.9,,,,0.345,41.4,147,94.5,3.84,3.08,28.8,24.8,34.6,28.3,,,,182,9.94,,,,,,,,,,,,,,,42.6,
,HSS4X2-1/2X3/8,,R,US,Steel,AISC v15.0,20,101.6,63.5,8.9,8.9,,,8.46,4.16,,,,0.3,15,282,132,3.42,2.34,55.5,41.6,73.4,52.4,,,,315,24.1,,,,,,,,,,,,,,,89.8,
,HSS4X2-1/2X5/16,,R,US,Steel,AISC v15.0,17.3,101.6,63.5,7.4,7.4,,,10.7,5.59,,,,0.305,17.6,255,120,3.5,2.4,50.2,37.9,65.1,46.7,,,,282,20.8,,,,,,,,,,,,,,,78.1,
,HSS4X2-1/2X1/4,,R,US,Steel,AISC v15.0,14.4,101.6,63.5,5.9,5.9,,,14.2,7.73,,,,0.31,21.6,221,105,3.59,2.47,43.6,33.2,55.4,39.8,,,,241,17.2,,,,,,,,,,,,,,,65.2,
,HSS4X2-1/2X3/16,,R,US,Steel,AISC v15.0,11.2,101.6,63.5,4.4,4.4,,,20,11.4,,,,0.315,28.2,179,85.7,3.67,2.54,35.2,27,43.8,31.6,,,,191,13.3,,,,,,,,,,,,,,,50.7,
,HSS4X2-1/2X1/8,,R,US,Steel,AISC v15.0,7.71,101.6,63.5,2.9,2.9,,,31.5,18.6,,,,0.32,41.5,129,62,3.75,2.6,25.3,19.5,30.8,22.3,,,,134,9.16,,,,,,,,,,,,,,,35.2,
,HSS4X2X3/8,,R,US,Steel,AISC v15.0,18.1,101.6,50.8,8.9,8.9,,,8.46,2.73,,,,0.274,15.1,233,74.9,3.26,1.85,45.9,29.5,62.9,37.9,,,,201,21.9,,,,,,,,,,,,,,,225,
,HSS4X2X5/16,,R,US,Steel,AISC v15.0,15.7,101.6,50.8,7.4,7.4,,,10.7,3.87,,,,0.28,17.8,214,69.5,3.36,1.91,42,27.4,56.2,34.1,,,,183,19,,,,,,,,,,,,,,,60.5,
,HSS4X2X1/4,,R,US,Steel,AISC v15.0,13.1,101.6,50.8,5.9,5.9,,,14.2,5.58,,,,0.284,21.7,187,61.6,3.45,1.98,36.8,24.3,48.2,29.3,,,,159,15.7,,,,,,,,,,,,,,,50.8,
,HSS4X2X3/16,,R,US,Steel,AISC v15.0,10.2,101.6,50.8,4.4,4.4,,,20,8.49,,,,0.29,28.3,152,50.8,3.53,2.04,30,20,38.3,23.4,,,,128,12.2,,,,,,,,,,,,,,,39.8,
,HSS4X2X1/8,,R,US,Steel,AISC v15.0,7.07,101.6,50.8,2.9,2.9,,,31.5,14.2,,,,0.295,41.7,110,37.4,3.63,2.11,21.7,14.7,27.2,16.7,,,,91.6,8.39,,,,,,,,,,,,,,,27.8,
,HSS3-1/2X2-1/2X3/8,,R,US,Steel,AISC v15.0,18.1,88.9,63.5,8.9,8.9,,,7.03,4.16,,,,0.274,15.1,198,115,3.01,2.3,44.5,36.3,58.8,46.2,,,,256,21.9,,,,,,,,,,,,,,,77.5,
,HSS3-1/2X2-1/2X5/16,,R,US,Steel,AISC v15.0,15.7,88.9,63.5,7.4,7.4,,,9.03,5.59,,,,0.28,17.8,181,106,3.09,2.36,40.6,33.3,52.4,41.3,,,,230,19,,,,,,,,,,,,,,,67.6,
,HSS3-1/2X2-1/2X1/4,,R,US,Steel,AISC v15.0,13.1,88.9,63.5,5.9,5.9,,,12,7.73,,,,0.284,21.7,158,92.8,3.17,2.43,35.5,29.2,44.9,35.4,,,,198,15.7,,,,,,,,,,,,,,,56.6,
,HSS3-1/2X2-1/2X3/16,,R,US,Steel,AISC v15.0,10.2,88.9,63.5,4.4,4.4,,,17.1,11.4,,,,0.29,28.3,129,75.8,3.25,2.49,28.9,23.9,35.7,28.2,,,,157,12.2,,,,,,,,,,,,,,,44.1,
,HSS3-1/2X2-1/2X1/8,,R,US,Steel,AISC v15.0,7.07,88.9,63.5,2.9,2.9,,,27.2,18.6,,,,0.295,41.7,92.8,55.4,3.33,2.57,20.9,17.4,25.2,20,,,,111,8.39,,,,,,,,,,,,,,,30.7,
,HSS3-1/2X2X1/4,,R,US,Steel,AISC v15.0,11.8,88.9,50.8,5.9,5.9,,,12,5.58,,,,0.259,21.9,132,54.1,3.04,1.95,29.7,21.3,38.7,25.9,,,,132,14.3,,,,,,,,,,,,,,,44.1,
,HSS3-1/2X2X3/16,,R,US,Steel,AISC v15.0,9.27,88.9,50.8,4.4,4.4,,,17.1,8.49,,,,0.264,28.5,109,45,3.14,2.02,24.4,17.7,31,20.8,,,,106,11,,,,,,,,,,,,,,,34.6,
,HSS3-1/2X2X1/8,,R,US,Steel,AISC v15.0,6.44,88.9,50.8,2.9,2.9,,,27.2,14.2,,,,0.269,41.8,79.1,33.1,3.21,2.08,17.8,13,22,14.9,,,,76.2,7.68,,,,,,,,,,,,,,,24.2,
,HSS3-1/2X1-1/2X1/4,,R,US,Steel,AISC v15.0,10.6,88.9,38.1,5.9,5.9,,,12,3.44,,,,0.234,22.1,106,26.6,2.89,1.45,23.9,13.9,32.4,17.4,,,,74.5,12.7,,,,,,,,,,,,,,,31.6,
,HSS3-1/2X1-1/2X3/16,,R,US,Steel,AISC v15.0,8.32,88.9,38.1,4.4,4.4,,,17.1,5.62,,,,0.239,28.7,88.2,22.6,2.98,1.51,19.9,11.9,26.2,14.2,,,,62,9.94,,,,,,,,,,,,,,,25.2,
,HSS3-1/2X1-1/2X1/8,,R,US,Steel,AISC v15.0,5.8,88.9,38.1,2.9,2.9,,,27.2,9.93,,,,0.244,42,65.3,17.1,3.08,1.57,14.7,8.98,18.8,10.3,,,,45.4,6.9,,,,,,,,,,,,,,,17.8,
,HSS3X2-1/2X5/16,,R,US,Steel,AISC v15.0,14.2,76.2,63.5,7.4,7.4,,,7.31,5.59,,,,0.254,17.9,122,90.7,2.67,2.31,31.9,28.6,41.1,36.1,,,,181,17,,,,,,,,,,,,,,,57.1,
,HSS3X2-1/2X1/4,,R,US,Steel,AISC v15.0,11.8,76.2,63.5,5.9,5.9,,,9.88,7.73,,,,0.259,21.9,107,80.3,2.74,2.37,28.1,25.3,35.4,31.1,,,,156,14.3,,,,,,,,,,,,,,,47.9,
,HSS3X2-1/2X3/16,,R,US,Steel,AISC v15.0,9.27,76.2,63.5,4.4,4.4,,,14.2,11.4,,,,0.264,28.5,87.8,66.2,2.82,2.45,23.1,20.8,28.3,24.9,,,,125,11,,,,,,,,,,,,,,,37.5,
,HSS3X2-1/2X1/8,,R,US,Steel,AISC v15.0,6.44,76.2,63.5,2.9,2.9,,,22.9,18.6,,,,0.269,41.8,64.1,48.3,2.89,2.51,16.8,15.2,20.2,17.9,,,,88.7,7.68,,,,,,,,,,,,,,,26.1,
,HSS3X2X5/16,,R,US,Steel,AISC v15.0,12.6,76.2,50.8,7.4,7.4,,,7.31,3.87,,,,0.229,18.2,99.1,51.6,2.56,1.85,26,20.3,34.6,25.9,,,,119,15.2,,,,,,,,,,,,,,,44.2,
,HSS3X2X1/4,,R,US,Steel,AISC v15.0,10.6,76.2,50.8,5.9,5.9,,,9.88,5.58,,,,0.234,22.1,88.7,46.2,2.64,1.91,23.3,18.2,30,22.6,,,,105,12.7,,,,,,,,,,,,,,,37.3,
,HSS3X2X3/16,,R,US,Steel,AISC v15.0,8.32,76.2,50.8,4.4,4.4,,,14.2,8.49,,,,0.239,28.7,73.7,38.8,2.72,1.98,19.3,15.3,24.3,18.4,,,,85.3,9.94,,,,,,,,,,,,,,,29.4,
,HSS3X2X1/8,,R,US,Steel,AISC v15.0,5.8,76.2,50.8,2.9,2.9,,,22.9,14.2,,,,0.244,42,54.1,28.8,2.8,2.04,14.2,11.3,17.4,13.2,,,,61.2,6.9,,,,,,,,,,,,,,,20.7,
,HSS3X1-1/2X1/4,,R,US,Steel,AISC v15.0,9.32,76.2,38.1,5.9,5.9,,,9.88,3.44,,,,0.208,22.3,69.9,22.6,2.5,1.42,18.4,11.9,24.7,14.9,,,,59.9,11.2,,,,,,,,,,,,,,,99.9,
,HSS3X1-1/2X3/16,,R,US,Steel,AISC v15.0,7.38,76.2,38.1,4.4,4.4,,,14.2,5.62,,,,0.213,28.9,59.1,19.4,2.59,1.48,15.5,10.2,20.3,12.3,,,,50.4,8.84,,,,,,,,,,,,,,,21.4,
,HSS3X1-1/2X1/8,,R,US,Steel,AISC v15.0,5.18,76.2,38.1,2.9,2.9,,,22.9,9.93,,,,0.219,42.2,44.1,14.8,2.67,1.55,11.6,7.76,14.7,9.01,,,,36.9,6.17,,,,,,,,,,,,,,,15.2,
,HSS3X1X3/16,,R,US,Steel,AISC v15.0,6.43,76.2,25.4,4.4,4.4,,,14.2,2.75,,,,0.188,29.3,44.5,7.2,2.41,0.968,11.7,5.67,16.2,7.08,,,,21.9,7.68,,,,,,,,,,,,,,,48.9,
,HSS3X1X1/8,,R,US,Steel,AISC v15.0,4.54,76.2,25.4,2.9,2.9,,,22.9,5.62,,,,0.193,42.5,34,5.74,2.5,1.03,8.93,4.52,11.9,5.33,,,,17,5.42,,,,,,,,,,,,,,,9.69,
,HSS2-1/2X2X1/4,,R,US,Steel,AISC v15.0,9.32,63.5,50.8,5.9,5.9,,,7.73,5.58,,,,0.208,22.3,55.4,38.7,2.22,1.86,17.4,15.2,22.5,19.2,,,,79.1,11.2,,,,,,,,,,,,,,,30.6,
,HSS2-1/2X2X3/16,,R,US,Steel,AISC v15.0,7.38,63.5,50.8,4.4,4.4,,,11.4,8.49,,,,0.213,28.9,46.6,32.7,2.3,1.92,14.7,12.9,18.4,15.7,,,,64.5,8.84,,,,,,,,,,,,,,,24.2,
,HSS2-1/2X2X1/8,,R,US,Steel,AISC v15.0,5.18,63.5,50.8,2.9,2.9,,,18.6,14.2,,,,0.219,42.2,34.7,24.5,2.37,1.99,10.9,9.65,13.3,11.4,,,,46.6,6.17,,,,,,,,,,,,,,,17.1,
,HSS2-1/2X1-1/2X1/4,,R,US,Steel,AISC v15.0,8.05,63.5,38.1,5.9,5.9,,,7.73,3.44,,,,0.183,22.7,42.9,18.7,2.1,1.39,13.5,9.81,18.2,12.5,,,,45.8,9.74,,,,,,,,,,,,,,,76.5,
,HSS2-1/2X1-1/2X3/16,,R,US,Steel,AISC v15.0,6.43,63.5,38.1,4.4,4.4,,,11.4,5.62,,,,0.188,29.3,36.7,16.2,2.19,1.45,11.6,8.52,15,10.4,,,,38.7,7.68,,,,,,,,,,,,,,,17.6,
,HSS2-1/2X1-1/2X1/8,,R,US,Steel,AISC v15.0,4.54,63.5,38.1,2.9,2.9,,,18.6,9.93,,,,0.193,42.5,27.8,12.5,2.27,1.52,8.76,6.55,11,7.69,,,,28.6,5.42,,,,,,,,,,,,,,,12.5,
,HSS2-1/2X1X3/16,,R,US,Steel,AISC v15.0,5.48,63.5,25.4,4.4,4.4,,,11.4,2.75,,,,0.163,29.7,26.9,5.95,2.02,0.951,8.47,4.69,11.7,5.9,,,,17.1,6.58,,,,,,,,,,,,,,,38.4,
,HSS2-1/2X1X1/8,,R,US,Steel,AISC v15.0,3.91,63.5,25.4,2.9,2.9,,,18.6,5.62,,,,0.168,42.8,20.9,4.79,2.12,1.01,6.59,3.77,8.72,4.49,,,,13.4,4.67,,,,,,,,,,,,,,,8.01,
,HSS2-1/4X2X3/16,,R,US,Steel,AISC v15.0,6.91,57.2,50.8,4.4,4.4,,,9.93,8.49,,,,0.201,29.1,35.8,29.7,2.08,1.9,12.5,11.7,15.6,14.4,,,,54.9,8.26,,,,,,,,,,,,,,,21.6,
,HSS2-1/4X2X1/8,,R,US,Steel,AISC v15.0,4.87,57.2,50.8,2.9,2.9,,,16.4,14.2,,,,0.206,42.3,26.9,22.4,2.15,1.97,9.41,8.82,11.4,10.5,,,,39.8,5.79,,,,,,,,,,,,,,,15.3,
,HSS2X1-1/2X3/16,,R,US,Steel,AISC v15.0,5.48,50.8,38.1,4.4,4.4,,,8.49,5.62,,,,0.163,29.7,20.6,13,1.77,1.41,8.11,6.84,10.5,8.54,,,,27.6,6.58,,,,,,,,,,,,,,,13.8,
,HSS2X1-1/2X1/8,,R,US,Steel,AISC v15.0,3.91,50.8,38.1,2.9,2.9,,,14.2,9.93,,,,0.168,42.8,15.9,10.2,1.85,1.47,6.28,5.33,7.78,6.37,,,,20.6,4.67,,,,,,,,,,,,,,,9.91,
,HSS2X1X3/16,,R,US,Steel,AISC v15.0,4.52,50.8,25.4,4.4,4.4,,,8.49,2.75,,,,0.137,30.3,14.6,4.66,1.63,0.925,5.74,3.67,7.87,4.72,,,,12.5,5.45,,,,,,,,,,,,,,,28.1,
,HSS2X1X1/8,,R,US,Steel,AISC v15.0,3.27,50.8,25.4,2.9,2.9,,,14.2,5.62,,,,0.142,43.5,11.7,3.84,1.72,0.989,4.59,3.02,6,3.65,,,,9.91,3.92,,,,,,,,,,,,,,,6.33,
,HSS16X16X7/8,,R,US,Steel,AISC v15.0,258.1,406.4,406.4,20.7,20.7,,,,,,,,1.55,6.02,74900,74900,15.6,15.6,3690,3690,4390,4390,,,,122000,308,,,,,,,,,,,,,,,6150,16.7
,HSS16X16X3/4,,R,US,Steel,AISC v15.0,224.3,406.4,406.4,17.7,17.7,,,,,,,,1.56,6.98,66200,66200,15.7,15.7,3260,3260,3850,3850,,,,107000,268,,,,,,,,,,,,,,,5360,19.9
,HSS16X16X5/8,,R,US,Steel,AISC v15.0,189.5,406.4,406.4,14.8,14.8,,,,,,,,1.57,8.31,57000,57000,15.9,15.9,2810,2810,3280,3280,,,,90300,226,,,,,,,,,,,,,,,4530,24.5
,HSS16X16X1/2,,R,US,Steel,AISC v15.0,153.7,406.4,406.4,11.8,11.8,,,,,,,,1.58,10.3,47000,47000,16.1,16.1,2310,2310,2690,2690,,,,73700,183,,,,,,,,,,,,,,,3680,31.4
,HSS16X16X3/8,,R,US,Steel,AISC v15.0,116.9,406.4,406.4,8.9,8.9,,,,,,,,1.6,13.7,36300,36300,16.2,16.2,1790,1790,2060,2060,,,,56200,139,,,,,,,,,,,,,,,2800,42.8
,HSS16X16X5/16,,R,US,Steel,AISC v15.0,98,406.4,406.4,7.4,7.4,,,,,,,,1.6,16.3,30800,30800,16.2,16.2,1510,1510,1740,1740,,,,47500,117,,,,,,,,,,,,,,,2350,52
,HSS14X14X7/8,,R,US,Steel,AISC v15.0,222.6,355.6,355.6,20.7,20.7,,,,,,,,1.35,6.07,48700,48700,13.5,13.5,2740,2740,3290,3290,,,,79500,266,,,,,,,,,,,,,,,4640,14.2
,HSS14X14X3/4,,R,US,Steel,AISC v15.0,194,355.6,355.6,17.7,17.7,,,,,,,,1.36,7.02,43300,43300,13.7,13.7,2430,2430,2900,2900,,,,69900,232,,,,,,,,,,,,,,,4050,17.1
,HSS14X14X5/8,,R,US,Steel,AISC v15.0,164.2,355.6,355.6,14.8,14.8,,,,,,,,1.37,8.35,37300,37300,13.8,13.8,2100,2100,2470,2470,,,,59500,195,,,,,,,,,,,,,,,3430,21.1
,HSS14X14X1/2,,R,US,Steel,AISC v15.0,133.5,355.6,355.6,11.8,11.8,,,,,,,,1.38,10.4,30900,30900,14,14,1740,1740,2030,2030,,,,48700,159,,,,,,,,,,,,,,,2790,27.1
,HSS14X14X3/8,,R,US,Steel,AISC v15.0,101.7,355.6,355.6,8.9,8.9,,,,,,,,1.39,13.7,24000,24000,14.1,14.1,1350,1350,1560,1560,,,,37500,121,,,,,,,,,,,,,,,2130,37.1
,HSS14X14X5/16,,R,US,Steel,AISC v15.0,85.4,355.6,355.6,7.4,7.4,,,,,,,,1.4,16.4,20400,20400,14.2,14.2,1150,1150,1320,1320,,,,31600,101,,,,,,,,,,,,,,,1790,45.1
,HSS12X12X3/4,,R,US,Steel,AISC v15.0,163.6,304.8,304.8,17.7,17.7,,,,,,,,1.16,7.08,26300,26300,11.6,11.6,1720,1720,2080,2080,,,,42900,195,,,,,,,,,,,,,,,2920,14.2
,HSS12X12X5/8,,R,US,Steel,AISC v15.0,138.9,304.8,304.8,14.8,14.8,,,,,,,,1.17,8.41,22800,22800,11.7,11.7,1500,1500,1790,1790,,,,36800,166,,,,,,,,,,,,,,,2480,17.7
,HSS12X12X1/2,,R,US,Steel,AISC v15.0,113.2,304.8,304.8,11.8,11.8,,,,,,,,1.18,10.4,19000,19000,11.9,11.9,1250,1250,1470,1470,,,,30300,135,,,,,,,,,,,,,,,2030,22.8
,HSS12X12X3/8,,R,US,Steel,AISC v15.0,86.5,304.8,304.8,8.9,8.9,,,,,,,,1.19,13.7,14900,14900,12,12,975,975,1130,1130,,,,23400,103,,,,,,,,,,,,,,,1550,31.4
,HSS12X12X5/16,,R,US,Steel,AISC v15.0,72.7,304.8,304.8,7.4,7.4,,,,,,,,1.19,16.4,12700,12700,12.1,12.1,830,830,960,960,,,,19700,86.5,,,,,,,,,,,,,,,1310,38.2
,HSS12X12X1/4,,R,US,Steel,AISC v15.0,58.7,304.8,304.8,5.9,5.9,,,,,,,,1.2,20.4,10300,10300,12.2,12.2,677,677,780,780,,,,16000,69.7,,,,,,,,,,,,,,,1060,48.5
,HSS12X12X3/16,,R,US,Steel,AISC v15.0,44.4,304.8,304.8,4.4,4.4,,,,,,,,1.2,27.1,7870,7870,12.2,12.2,516,516,590,590,,,,12100,52.6,,,,,,,,,,,,,,,798,66
,HSS10X10X3/4,,R,US,Steel,AISC v15.0,133.2,254,254,17.7,17.7,,,,,,,,0.955,7.17,14400,14400,9.52,9.52,1140,1140,1390,1390,,,,24100,159,,,,,,,,,,,,,,,1980,11.3
,HSS10X10X5/8,,R,US,Steel,AISC v15.0,113.6,254,254,14.8,14.8,,,,,,,,0.965,8.5,12700,12700,9.66,9.66,996,996,1200,1200,,,,20700,135,,,,,,,,,,,,,,,1690,14.2
,HSS10X10X1/2,,R,US,Steel,AISC v15.0,93,254,254,11.8,11.8,,,,,,,,0.975,10.5,10700,10700,9.8,9.8,839,839,995,995,,,,17100,111,,,,,,,,,,,,,,,1390,18.5
,HSS10X10X3/8,,R,US,Steel,AISC v15.0,71.3,254,254,8.9,8.9,,,,,,,,0.985,13.8,8410,8410,9.94,9.94,662,662,773,773,,,,13300,85.2,,,,,,,,,,,,,,,1070,25.7
,HSS10X10X5/16,,R,US,Steel,AISC v15.0,60,254,254,7.4,7.4,,,,,,,,0.991,16.5,7160,7160,10,10,564,564,657,657,,,,11300,71.6,,,,,,,,,,,,,,,899,31.4
,HSS10X10X1/4,,R,US,Steel,AISC v15.0,48.6,254,254,5.9,5.9,,,,,,,,0.996,20.5,5870,5870,10.1,10.1,462,462,536,536,,,,9160,57.8,,,,,,,,,,,,,,,728,39.9
,HSS10X10X3/16,,R,US,Steel,AISC v15.0,36.8,254,254,4.4,4.4,,,,,,,,1,27.2,4500,4500,10.2,10.2,354,354,406,406,,,,6950,43.6,,,,,,,,,,,,,,,551,54.5
,HSS9X9X5/8,,R,US,Steel,AISC v15.0,100.9,228.6,228.6,14.8,14.8,,,,,,,,0.864,8.56,8990,8990,8.63,8.63,787,787,952,952,,,,14800,121,,,,,,,,,,,,,,,1350,12.5
,HSS9X9X1/2,,R,US,Steel,AISC v15.0,82.8,228.6,228.6,11.8,11.8,,,,,,,,0.874,10.5,7620,7620,8.78,8.78,666,666,793,793,,,,12300,98.7,,,,,,,,,,,,,,,1110,16.4
,HSS9X9X3/8,,R,US,Steel,AISC v15.0,63.7,228.6,228.6,8.9,8.9,,,,,,,,0.884,13.9,6040,6040,8.9,8.9,528,528,619,619,,,,9610,76.1,,,,,,,,,,,,,,,856,22.8
,HSS9X9X5/16,,R,US,Steel,AISC v15.0,53.7,228.6,228.6,7.4,7.4,,,,,,,,0.889,16.5,5160,5160,8.98,8.98,452,452,526,526,,,,8160,64,,,,,,,,,,,,,,,723,27.9
,HSS9X9X1/4,,R,US,Steel,AISC v15.0,43.5,228.6,228.6,5.9,5.9,,,,,,,,0.894,20.6,4250,4250,9.05,9.05,371,371,429,429,,,,6620,51.8,,,,,,,,,,,,,,,587,35.6
,HSS9X9X3/16,,R,US,Steel,AISC v15.0,33,228.6,228.6,4.4,4.4,,,,,,,,0.899,27.2,3250,3250,9.12,9.12,285,285,328,328,,,,5040,39.1,,,,,,,,,,,,,,,444,48.7
,HSS9X9X1/8,,R,US,Steel,AISC v15.0,22.3,228.6,228.6,2.9,2.9,,,,,,,,0.904,40.6,2230,2230,9.19,9.19,195,195,223,223,,,,3410,26.4,,,,,,,,,,,,,,,300,74.6
,HSS8X8X5/8,,R,US,Steel,AISC v15.0,88.3,203.2,203.2,14.8,14.8,,,,,,,,0.762,8.63,6080,6080,7.58,7.58,598,598,733,733,,,,10200,106,,,,,,,,,,,,,,,1050,10.8
,HSS8X8X1/2,,R,US,Steel,AISC v15.0,72.7,203.2,203.2,11.8,11.8,,,,,,,,0.772,10.6,5200,5200,7.73,7.73,512,512,615,615,,,,8490,87.1,,,,,,,,,,,,,,,865,14.2
,HSS8X8X3/8,,R,US,Steel,AISC v15.0,56.1,203.2,203.2,8.9,8.9,,,,,,,,0.782,13.9,4160,4160,7.88,7.88,410,410,482,482,,,,6660,67.1,,,,,,,,,,,,,,,670,19.9
,HSS8X8X5/16,,R,US,Steel,AISC v15.0,47.4,203.2,203.2,7.4,7.4,,,,,,,,0.787,16.6,3560,3560,7.94,7.94,351,351,411,411,,,,5660,56.5,,,,,,,,,,,,,,,567,24.5
,HSS8X8X1/4,,R,US,Steel,AISC v15.0,38.4,203.2,203.2,5.9,5.9,,,,,,,,0.792,20.6,2940,2940,8.02,8.02,290,290,336,336,,,,4620,45.8,,,,,,,,,,,,,,,461,31.3
,HSS8X8X3/16,,R,US,Steel,AISC v15.0,29.2,203.2,203.2,4.4,4.4,,,,,,,,0.798,27.3,2260,2260,8.08,8.08,223,223,257,257,,,,3520,34.6,,,,,,,,,,,,,,,349,43
,HSS8X8X1/8,,R,US,Steel,AISC v15.0,19.7,203.2,203.2,2.9,2.9,,,,,,,,0.803,40.7,1560,1560,8.16,8.16,153,153,175,175,,,,2390,23.4,,,,,,,,,,,,,,,236,66
,HSS7X7X5/8,,R,US,Steel,AISC v15.0,75.6,177.8,177.8,14.8,14.8,,,,,,,,0.661,8.74,3890,3890,6.56,6.56,437,437,542,542,,,,6580,90.3,,,,,,,,,,,,,,,785,9.05
,HSS7X7X1/2,,R,US,Steel,AISC v15.0,62.6,177.8,177.8,11.8,11.8,,,,,,,,0.671,10.7,3350,3350,6.69,6.69,377,377,457,457,,,,5540,74.8,,,,,,,,,,,,,,,651,12.1
,HSS7X7X3/8,,R,US,Steel,AISC v15.0,48.5,177.8,177.8,8.9,8.9,,,,,,,,0.681,14,2710,2710,6.84,6.84,304,304,362,362,,,,4370,57.9,,,,,,,,,,,,,,,506,17.1
